partido,quantidade_doacoes,quantidade_doadores,total_receita,media_receita,recursos_de_outros_candidatos.comites,recursos_de_pessoas_fisicas,recursos_de_pessoas_juridicas,recursos_proprios,recursos_de_partido_politico,quantidade_despesas,quantidade_fornecedores,total_despesa,media_despesa,sexo,regiao
PDT,14,11,97185.0,6941.79,5160.0,10265.0,30000.0,51760.0,0.0,23,23,97143.44,4223.63,MASCULINO,NNE
PP,62,52,2227475.75,35927.03,0.0,88400.0,1419075.75,720000.0,0.0,841,749,1067882.79,1269.78,MASCULINO,SSE
PSDB,45,42,412450.49,9165.57,377475.74,3850.0,6224.75,24900.0,0.0,129,103,407537.44,3159.2,MASCULINO,NNE
PP,15,14,431375.0,28758.33,0.0,66150.0,350225.0,15000.0,0.0,238,215,423782.1,1780.6,MASCULINO,SSE
PFL,42,40,784438.0,18677.1,791.0,35000.0,731677.0,16970.0,0.0,506,451,587676.78,1161.42,MASCULINO,SSE
PSDB,356,353,616933.67,1732.96,278875.67,104650.0,165650.0,67758.0,0.0,780,456,415953.79,533.27,MASCULINO,NNE
PMDB,24,23,338058.75,14085.78,23078.75,1000.0,312000.0,1980.0,0.0,506,501,334319.28,660.71,MASCULINO,SSE
PTB,31,27,1263688.0,40764.13,60480.0,55600.0,885200.0,262408.0,0.0,1129,817,1007382.56,892.28,MASCULINO,SSE
PFL,21,20,340706.68,16224.13,0.0,7770.0,322936.68,10000.0,0.0,89,85,340399.88,3824.72,MASCULINO,SSE
PTB,22,20,991700.0,45077.27,0.0,0.0,946700.0,45000.0,0.0,2160,1972,815472.5,377.53,MASCULINO,SSE
PMDB,50,44,356911.2,7138.22,8078.75,20500.0,262693.8,15638.65,50000.0,288,272,348502.5,1210.08,MASCULINO,SSE
PFL,27,24,556804.95,20622.41,0.0,107240.0,168564.95,161000.0,120000.0,159,147,494680.22,3111.2,MASCULINO,SSE
PFL,69,66,898320.15,13019.13,0.0,6600.0,891697.59,22.56,0.0,435,378,767162.09,1763.59,MASCULINO,SSE
PMDB,32,31,606253.75,18945.43,8078.75,114200.0,261293.0,218682.0,4000.0,1159,931,582548.67,502.63,MASCULINO,SSE
PTB,42,38,743612.0,17705.05,0.0,3465.0,551547.0,4600.0,184000.0,196,181,580152.86,2959.96,MASCULINO,NNE
PFL,22,20,406110.0,18459.55,0.0,6610.0,123000.0,276500.0,0.0,417,311,361089.62,865.92,MASCULINO,SSE
PFL,69,67,445001.16,6449.29,5728.44,63525.0,131753.0,243994.72,0.0,384,331,418531.78,1089.93,MASCULINO,SSE
PL,79,75,1696282.57,21471.93,315921.37,84848.5,1230400.0,65112.7,0.0,3107,2779,1278641.85,411.54,MASCULINO,SSE
PSC,8,6,356966.64,44620.83,206666.64,0.0,0.0,150300.0,0.0,55,49,331004.02,6018.25,MASCULINO,SSE
PFL,47,45,1322602.92,28140.49,408095.44,3006.64,909986.71,1514.13,0.0,802,502,1144133.75,1426.6,MASCULINO,SSE
PFL,120,111,958457.1,7987.14,55759.58,33954.0,711189.69,7553.83,150000.0,571,492,848656.15,1486.26,MASCULINO,SSE
PFL,17,13,458634.64,26978.51,16666.64,0.0,20000.0,421968.0,0.0,198,186,431589.2,2179.74,MASCULINO,SSE
PFL,31,29,191466.64,6176.34,16666.64,158200.0,0.0,16600.0,0.0,74,59,180920.76,2444.88,MASCULINO,SSE
PFL,28,26,122078.26,4359.94,16666.64,50000.0,49593.9,5817.72,0.0,37,33,106844.94,2887.7,MASCULINO,SSE
PSDB,30,24,1079788.44,35992.95,6888.44,5400.0,107500.0,960000.0,0.0,1291,1072,977092.95,756.85,MASCULINO,SSE
PL,14,13,171329.88,12237.85,0.0,131317.88,10000.0,30012.0,0.0,26,24,171137.82,6582.22,MASCULINO,NNE
PL,37,32,339993.11,9189.0,0.0,205993.11,0.0,134000.0,0.0,562,503,295842.67,526.41,MASCULINO,NNE
PPS,18,15,221728.44,12318.25,5728.44,3600.0,82400.0,130000.0,0.0,387,369,212029.54,547.88,MASCULINO,SSE
PSDB,9,9,1162000.0,129111.11,0.0,0.0,94000.0,1068000.0,0.0,175,145,1071751.46,6124.29,MASCULINO,SSE
PMDB,15,15,733358.0,48890.53,0.0,60000.0,175758.0,149000.0,348600.0,71,67,571049.56,8042.95,MASCULINO,NNE
PSOL,79,75,107083.18,1355.48,2.41,59530.85,0.0,47549.92,0.0,123,82,93476.63,759.97,FEMININO,SSE
PAN,28,27,240120.0,8575.71,5100.0,119800.0,0.0,115220.0,0.0,43,30,174672.09,4062.14,MASCULINO,NNE
PC do B,231,225,405405.37,1755.0,0.0,201410.59,188994.78,0.0,15000.0,524,434,391903.16,747.91,MASCULINO,NNE
PSDB,56,51,1947412.14,34775.22,370232.54,77500.0,1478979.6,20700.0,0.0,827,618,815035.78,985.53,MASCULINO,SSE
PSDB,73,69,1085307.5,14867.23,0.0,279125.5,756182.0,50000.0,0.0,289,258,729347.5,2523.69,MASCULINO,SSE
PSDB,53,51,417340.0,7874.34,15000.0,47550.0,354790.0,0.0,0.0,278,264,409135.67,1471.71,MASCULINO,SSE
PPS,45,41,540291.02,12006.47,27698.03,106592.99,400000.0,6000.0,0.0,478,403,473879.6,991.38,MASCULINO,SSE
PSDB,31,26,1081099.0,34874.16,139359.0,74940.0,805000.0,61800.0,0.0,317,287,703402.99,2218.94,FEMININO,SSE
PSDB,37,35,1141525.93,30852.05,18275.93,24500.0,1095750.0,3000.0,0.0,172,132,972657.61,5654.99,MASCULINO,NNE
PSDB,55,50,580354.5,10551.9,1550.0,145100.0,411704.5,22000.0,0.0,221,188,554782.44,2510.33,MASCULINO,NNE
PMDB,21,15,90073.58,4289.22,2100.0,8120.0,0.0,79853.58,0.0,52,47,74325.58,1429.34,MASCULINO,SSE
PMDB,48,44,2923227.58,60900.57,3415.0,3000.0,1784502.05,1132310.53,0.0,1526,1396,2684085.1,1758.9,MASCULINO,SSE
PMDB,45,43,691752.97,15372.29,24452.12,387300.85,235000.0,45000.0,0.0,461,300,630172.42,1366.97,MASCULINO,SSE
PMDB,91,77,951628.46,10457.46,3700.0,12000.0,935928.46,0.0,0.0,463,398,918214.89,1983.19,MASCULINO,SSE
PMDB,244,237,617718.01,2531.63,3700.0,223853.51,269994.5,120170.0,0.0,783,569,451119.66,576.14,MASCULINO,SSE
PPS,100,96,1004764.83,10047.65,0.0,41469.28,958295.55,5000.0,0.0,329,277,927462.79,2819.04,MASCULINO,SSE
PMDB,44,44,421330.0,9575.68,2100.0,24177.07,365052.93,30000.0,0.0,161,156,390156.35,2423.33,MASCULINO,SSE
PMDB,44,41,654005.37,14863.76,2685.5,15638.0,189123.87,446558.0,0.0,687,596,626134.14,911.4,MASCULINO,SSE
PL,27,21,1001011.0,37074.48,9731.0,59500.0,154480.0,777300.0,0.0,2496,2363,952014.19,381.42,MASCULINO,SSE
PSDB,56,50,307800.0,5496.43,0.0,105250.0,193400.0,9150.0,0.0,68,36,230677.03,3392.31,MASCULINO,NNE
PFL,13,12,648600.0,49892.31,0.0,20000.0,428600.0,0.0,200000.0,173,161,632629.66,3656.82,MASCULINO,NNE
PMDB,63,59,223369.25,3545.54,3950.0,123199.25,41220.0,55000.0,0.0,225,196,203081.79,902.59,MASCULINO,SSE
PT,59,57,314320.4,5327.46,5150.0,97700.0,110150.0,101320.4,0.0,273,202,237883.25,871.37,FEMININO,SSE
PT,51,47,591506.97,11598.18,20160.0,73846.97,497500.0,0.0,0.0,900,701,536590.61,596.21,MASCULINO,SSE
PFL,29,27,666000.0,22965.52,0.0,49500.0,171500.0,445000.0,0.0,137,106,455798.62,3327.0,MASCULINO,SSE
PMDB,19,13,1160325.5,61069.76,0.0,4200.0,2225.5,1153900.0,0.0,1111,1038,1102187.06,992.07,MASCULINO,SSE
PP,36,36,464351.65,12898.66,48946.65,57540.0,323865.0,34000.0,0.0,481,322,347140.7,721.71,MASCULINO,SSE
PFL,49,43,838600.0,17114.29,0.0,432600.0,406000.0,0.0,0.0,436,396,768559.99,1762.75,MASCULINO,SSE
PP,53,53,243775.68,4599.54,19462.0,153151.51,51750.0,19412.17,0.0,180,151,233567.31,1297.6,MASCULINO,SSE
PT,100,94,944300.0,9443.0,10000.0,14300.0,795000.0,25000.0,100000.0,688,631,941512.61,1368.48,MASCULINO,SSE
PT,43,41,392051.08,9117.47,5000.0,27430.0,347400.0,12221.08,0.0,518,399,356878.73,688.96,MASCULINO,SSE
PFL,45,42,229139.57,5091.99,0.0,200339.57,28800.0,0.0,0.0,62,54,207720.82,3350.34,MASCULINO,SSE
PP,21,18,262651.8,12507.23,0.0,31901.8,43000.0,30050.0,157700.0,51,45,214316.93,4202.29,MASCULINO,NNE
PFL,33,27,215515.0,6530.76,0.0,46975.0,168500.0,40.0,0.0,146,112,187464.29,1284.0,FEMININO,SSE
PT,113,98,278098.64,2461.05,0.0,153973.01,115480.35,8645.28,0.0,796,639,230581.25,289.67,MASCULINO,SSE
PSB,64,62,772175.26,12065.24,60000.0,53500.0,658675.26,0.0,0.0,1202,906,464084.52,386.09,MASCULINO,SSE
PT,49,44,452557.6,9235.87,0.0,128057.61,310499.99,14000.0,0.0,677,623,440253.67,650.3,MASCULINO,SSE
PT,99,93,461332.75,4659.93,49800.0,146010.0,177350.0,74672.75,13500.0,306,202,355240.81,1160.92,MASCULINO,SSE
PT,42,41,415420.0,9890.95,0.0,49700.0,266270.0,99450.0,0.0,138,129,394098.8,2855.79,MASCULINO,SSE
PT,136,120,230602.29,1695.61,0.0,80723.0,56860.29,93019.0,0.0,270,204,226458.06,838.73,MASCULINO,SSE
PFL,23,22,983758.4,42772.1,39758.4,171000.0,773000.0,0.0,0.0,80,76,934729.07,11684.11,MASCULINO,SSE
PDT,16,16,177720.0,11107.5,0.0,48600.0,93920.0,35200.0,0.0,75,66,173172.66,2308.97,MASCULINO,NNE
PT,52,52,79990.0,1538.27,0.0,11540.0,30000.0,38450.0,0.0,61,52,80693.48,1322.84,MASCULINO,SSE
PT,82,81,456022.0,5561.24,13792.0,112230.0,229500.0,100500.0,0.0,476,432,402786.98,846.19,MASCULINO,SSE
PT,29,29,376845.6,12994.68,5203.67,43785.87,27856.06,300000.0,0.0,72,61,368799.83,5122.22,MASCULINO,SSE
PMDB,27,25,78943.66,2923.84,0.0,22000.0,16500.0,37943.66,2500.0,24,18,59410.37,2475.43,MASCULINO,NNE
PP,41,37,321144.06,7832.78,0.0,69100.0,251444.06,600.0,0.0,111,99,267514.14,2410.04,MASCULINO,NNE
PMDB,278,270,1067138.35,3838.63,4770.9,431784.1,581583.35,46600.0,2400.0,1313,1084,1119374.68,852.53,MASCULINO,SSE
PT,103,101,654275.71,6352.19,5391.67,493184.04,155700.0,0.0,0.0,289,219,576188.7,1993.73,MASCULINO,SSE
PPS,14,14,161485.0,11534.64,0.0,3000.0,400.0,158085.0,0.0,42,32,158578.4,3775.68,MASCULINO,NNE
PMDB,19,18,364770.9,19198.47,1770.9,7000.0,356000.0,0.0,0.0,232,201,352053.0,1517.47,MASCULINO,SSE
PMDB,17,17,408290.9,24017.11,0.0,50000.0,356520.0,0.0,1770.9,487,435,399870.35,821.09,MASCULINO,SSE
PMDB,39,32,731428.99,18754.59,1000.0,10178.99,73000.0,647250.0,0.0,1181,1101,688443.58,582.93,MASCULINO,SSE
PFL,21,19,269208.27,12819.44,2500.0,1500.0,265208.27,0.0,0.0,56,51,245356.9,4381.37,MASCULINO,NNE
PDT,19,18,337600.0,17768.42,0.0,5600.0,294000.0,38000.0,0.0,90,85,276457.96,3071.76,MASCULINO,NNE
PFL,313,199,232779.36,743.7,5016.0,87148.36,107915.0,32700.0,0.0,253,207,250837.19,991.45,FEMININO,NNE
PP,34,33,133941.69,3939.46,36373.25,73400.0,1000.0,23168.44,0.0,54,38,92895.19,1720.28,MASCULINO,SSE
PFL,42,42,243605.0,5800.12,2500.0,202910.0,38195.0,0.0,0.0,58,50,228565.58,3940.79,FEMININO,NNE
PFL,42,40,315090.0,7502.14,2500.0,28000.0,254590.0,30000.0,0.0,173,133,271005.68,1566.51,MASCULINO,NNE
PSB,12,12,134066.62,11172.22,0.0,2000.0,100008.0,32058.62,0.0,21,21,134017.93,6381.81,MASCULINO,NNE
PSC,3,3,5700.0,1900.0,0.0,0.0,0.0,5700.0,0.0,11,10,5563.27,505.75,MASCULINO,NNE
PMDB,12,12,587086.56,48923.88,0.0,200315.66,375000.0,10000.0,1770.9,295,286,377449.26,1279.49,MASCULINO,SSE
PFL,18,18,313316.16,17406.45,2500.0,0.0,300577.38,10238.78,0.0,55,53,311799.25,5669.08,MASCULINO,NNE
PMDB,38,38,724210.53,19058.17,0.0,20000.0,684210.53,20000.0,0.0,582,388,590158.34,1014.02,FEMININO,SSE
PFL,26,26,1224971.94,47114.31,2500.0,150000.0,1072471.94,0.0,0.0,270,253,1183459.85,4383.18,MASCULINO,NNE
PMDB,153,150,313442.74,2048.65,0.0,170200.0,100.0,143142.74,0.0,157,146,335944.34,2139.77,MASCULINO,NNE
PMDB,10,10,218000.0,21800.0,0.0,23000.0,195000.0,0.0,0.0,65,62,205300.0,3158.46,MASCULINO,NNE
PFL,28,19,273645.0,9773.04,0.0,0.0,233645.0,40000.0,0.0,74,73,265440.41,3587.03,MASCULINO,NNE
PMDB,56,53,643842.5,11497.19,0.0,99142.5,248000.0,296700.0,0.0,1101,1054,586088.67,532.32,FEMININO,SSE
PMDB,39,37,858940.0,22024.1,0.0,18440.0,817000.0,23500.0,0.0,194,188,847572.7,4368.93,MASCULINO,SSE
PMDB,28,25,84411.61,3014.7,1598.7,7500.0,35956.91,39356.0,0.0,47,46,77606.88,1651.21,MASCULINO,NNE
PL,18,18,316000.42,17555.58,0.0,6000.0,165000.0,0.42,145000.0,65,61,337312.67,5189.43,MASCULINO,NNE
PSB,61,56,89626.49,1469.29,4660.0,80186.99,4779.5,0.0,0.0,65,41,57902.89,890.81,FEMININO,NNE
PT,44,43,454605.34,10331.94,0.0,17090.0,412500.0,25015.34,0.0,276,246,424891.54,1539.46,MASCULINO,SSE
PFL,63,58,902102.82,14319.09,0.0,1500.0,900602.82,0.0,0.0,69,48,779409.61,11295.79,MASCULINO,NNE
PMDB,10,9,301300.0,30130.0,0.0,81300.0,220000.0,0.0,0.0,61,60,219300.0,3595.08,FEMININO,SSE
PT,36,35,452947.0,12581.86,0.0,42750.0,401197.0,9000.0,0.0,189,166,419503.07,2219.59,MASCULINO,SSE
PFL,32,32,1208700.0,37771.88,2500.0,74000.0,1122000.0,10200.0,0.0,547,524,1179820.49,2156.89,MASCULINO,NNE
PFL,32,32,115920.0,3622.5,2500.0,26350.0,80500.0,6570.0,0.0,125,111,88914.45,711.32,MASCULINO,NNE
PFL,41,37,416833.31,10166.67,0.0,42200.0,309330.36,65302.95,0.0,198,191,399733.31,2018.86,MASCULINO,NNE
PT,79,71,332124.51,4204.11,10610.07,108106.72,132407.72,21000.0,60000.0,352,299,321816.37,914.25,MASCULINO,SSE
PMDB,79,75,970305.17,12282.34,0.0,87310.0,821995.17,60000.0,1000.0,558,490,939205.8,1683.16,MASCULINO,SSE
PSB,21,18,158740.25,7559.06,30000.0,5800.0,104000.0,18940.25,0.0,63,61,155840.25,2473.65,MASCULINO,NNE
PSB,11,9,260103.7,23645.79,7103.7,0.0,170000.0,1000.0,82000.0,104,94,222786.17,2142.17,MASCULINO,NNE
PFL,17,17,812158.0,47774.0,0.0,150000.0,662158.0,0.0,0.0,160,148,808615.45,5053.85,MASCULINO,NNE
PSB,134,120,1062994.13,7932.79,0.0,368500.0,694494.13,0.0,0.0,183,176,967426.18,5286.48,MASCULINO,NNE
PSB,43,39,360527.28,8384.36,1598.7,81500.0,272428.58,5000.0,0.0,75,60,299527.28,3993.7,MASCULINO,NNE
PT,66,66,223939.61,3393.02,1000.0,36224.0,88715.61,98000.0,0.0,240,199,198984.2,829.1,MASCULINO,SSE
PFL,27,27,560301.8,20751.92,2500.0,17000.0,540801.8,0.0,0.0,268,224,519785.85,1939.5,MASCULINO,NNE
PC do B,84,83,252689.92,3008.21,35090.0,17979.92,156000.0,43620.0,0.0,138,117,208399.37,1510.14,FEMININO,SSE
PP,10,10,317900.0,31790.0,2500.0,0.0,90000.0,18000.0,207400.0,54,50,285858.97,5293.68,MASCULINO,NNE
PP,41,40,626813.61,15288.14,2500.0,245265.0,248000.0,106348.61,24700.0,259,203,497280.4,1920.0,MASCULINO,NNE
PP,69,69,249160.0,3611.01,2500.0,185670.0,16100.0,44890.0,0.0,93,80,245631.34,2641.2,MASCULINO,NNE
PL,19,17,287527.38,15133.02,52500.0,27850.0,140577.38,16600.0,50000.0,88,82,280074.48,3182.66,MASCULINO,NNE
PT,78,76,243762.73,3125.16,1000.0,31785.0,19085.0,191892.73,0.0,298,259,191444.93,642.43,MASCULINO,SSE
PL,10,9,27772.64,2777.26,0.0,0.0,3000.0,24772.64,0.0,27,24,27736.61,1027.28,MASCULINO,NNE
PSB,117,115,425100.0,3633.33,89200.0,22000.0,228000.0,15900.0,70000.0,110,101,434051.38,3945.92,FEMININO,NNE
PT,58,52,123059.23,2121.71,0.0,68000.0,1000.0,54059.23,0.0,127,115,119395.13,940.12,MASCULINO,SSE
